away_team,home_team,kickoff,hour_offset,tweet_count
MIA,CLE,2013-09-08 13:00:00,-3,0
MIA,CLE,2013-09-08 13:00:00,-2,8
MIA,CLE,2013-09-08 13:00:00,-1,6
MIA,CLE,2013-09-08 13:00:00,0,24
MIA,CLE,2013-09-08 13:00:00,1,26
MIA,CLE,2013-09-08 13:00:00,2,2
MIA,CLE,2013-09-08 13:00:00,3,36
MIA,CLE,2013-09-08 13:00:00,4,36
MIA,CLE,2013-09-08 13:00:00,5,0
MIA,CLE,2013-09-08 13:00:00,6,8
MIA,CLE,2013-09-08 13:00:00,7,205
MIA,CLE,2013-09-08 13:00:00,8,0
MIA,CLE,2013-09-08 13:00:00,9,0
MIA,CLE,2013-09-08 13:00:00,10,0
MIA,CLE,2013-09-08 13:00:00,11,0
MIA,CLE,2013-09-08 13:00:00,12,0
MIA,CLE,2013-09-08 13:00:00,13,0
MIA,CLE,2013-09-08 13:00:00,14,0
MIA,CLE,2013-09-08 13:00:00,15,2
MIA,CLE,2013-09-08 13:00:00,16,0
MIA,CLE,2013-09-08 13:00:00,17,0
MIA,CLE,2013-09-08 13:00:00,18,0
MIA,CLE,2013-09-08 13:00:00,19,0
MIA,CLE,2013-09-08 13:00:00,20,0
MIA,CLE,2013-09-08 13:00:00,21,0
MIA,CLE,2013-09-08 13:00:00,22,0
MIA,CLE,2013-09-08 13:00:00,23,0
MIA,CLE,2013-09-08 13:00:00,24,2
MIA,CLE,2013-09-08 13:00:00,25,0
MIA,CLE,2013-09-08 13:00:00,26,0
MIA,CLE,2013-09-08 13:00:00,27,0
MIA,CLE,2013-09-08 13:00:00,28,0
MIA,CLE,2013-09-08 13:00:00,29,0
MIA,CLE,2013-09-08 13:00:00,30,0
MIA,CLE,2013-09-08 13:00:00,31,1
MIA,CLE,2013-09-08 13:00:00,32,0
MIA,CLE,2013-09-08 13:00:00,33,0
MIA,CLE,2013-09-08 13:00:00,34,0
MIA,CLE,2013-09-08 13:00:00,35,0
MIA,CLE,2013-09-08 13:00:00,36,0
MIA,CLE,2013-09-08 13:00:00,37,0
MIA,CLE,2013-09-08 13:00:00,38,0
MIA,CLE,2013-09-08 13:00:00,39,0
MIA,CLE,2013-09-08 13:00:00,40,0
MIA,CLE,2013-09-08 13:00:00,41,0
MIA,CLE,2013-09-08 13:00:00,42,0
MIA,CLE,2013-09-08 13:00:00,43,0
MIA,CLE,2013-09-08 13:00:00,44,0
MIA,CLE,2013-09-08 13:00:00,45,0
MIA,CLE,2013-09-08 13:00:00,46,0
MIA,CLE,2013-09-08 13:00:00,47,0
MIA,CLE,2013-09-08 13:00:00,48,0
MIN,DET,2013-09-08 13:00:00,-5,0
MIN,DET,2013-09-08 13:00:00,-4,0
MIN,DET,2013-09-08 13:00:00,-3,0
MIN,DET,2013-09-08 13:00:00,-2,0
MIN,DET,2013-09-08 13:00:00,-1,3
MIN,DET,2013-09-08 13:00:00,0,2
MIN,DET,2013-09-08 13:00:00,1,0
MIN,DET,2013-09-08 13:00:00,2,0
MIN,DET,2013-09-08 13:00:00,3,59
MIN,DET,2013-09-08 13:00:00,4,245
MIN,DET,2013-09-08 13:00:00,5,0
MIN,DET,2013-09-08 13:00:00,6,3
MIN,DET,2013-09-08 13:00:00,7,201
MIN,DET,2013-09-08 13:00:00,8,0
MIN,DET,2013-09-08 13:00:00,9,0
MIN,DET,2013-09-08 13:00:00,10,0
MIN,DET,2013-09-08 13:00:00,11,0
MIN,DET,2013-09-08 13:00:00,12,0
MIN,DET,2013-09-08 13:00:00,13,0
MIN,DET,2013-09-08 13:00:00,14,0
